corename,latitude,longitude,wdepth,sdepth,mgca,clean,size_lower,size_upper,omega,pH,t_annual,s_annual,t_seasonal,s_seasonal,grid_lat,grid_lon,include,species,reference1,reference2,reference_link1,reference_link2,omega_inv_sq,clean_method
KNR158-MC54h,57.0267,-17.5317,1330,1.5,1.09,1,150,255,1.927188039,8.131766319,10.77890015,35.30141068,10.77889554,35.30143801,57.5,-17.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.269247585,reductive
KNR166-2 JPC51,24.4117,-83.219,198,5.25,4.346,1,255,350,3.386499852,8.031648815,26.7259903,36.07991028,26.72596757,36.07991982,24.5,-83.5,1,ruber_w,Schmidt2012a,,http://doi.org/10.1029/2012PA002284,,0.087196264,reductive
KNR177-MC16b2,62.5,1.5,967,0.5,1.4,1,255,355,1.967188597,8.119745255,9.239709854,34.91791153,9.239733338,34.91793092,62.5,1.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.258409219,reductive
KNR177-MC16b5,62.5,1.5,967,0.5,1.3,1,150,255,1.967188597,8.119745255,9.239709854,34.91791153,9.239733338,34.91793092,62.5,1.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.258409219,reductive
KNR177-MC21b2,64.02694444,-1.123611111,2640,0.5,1.05,1,255,355,1.307994723,8.149377823,7.746910095,35.13360977,9.073111262,35.13141959,64.5,-1.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.584504712,reductive
KNR177-MC21b5,64.02694444,-1.123611111,2640,0.5,1.2,1,150,255,1.307994723,8.149377823,7.746910095,35.13360977,9.073111262,35.13141959,64.5,-1.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.584504712,reductive
KNR177-MC24c2,64.30222222,-2.34,3036,0.5,1.05,1,150,255,1.176671982,8.152543068,7.44039011,35.10638809,9.183778365,35.09784381,64.5,-2.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.722252702,reductive
KNR177-MC24c5,64.30222222,-2.34,3036,0.5,1.04,1,255,355,1.176671982,8.152543068,7.44039011,35.10638809,9.183778365,35.09784381,64.5,-2.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.722252702,reductive
KNR177-MC27b2,64.50944444,-3.500555556,3341,0.5,1.14,1,150,255,1.099066257,8.156698227,7.110209942,35.07008743,9.331879997,35.07441483,64.5,-3.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.827851139,reductive
KNR177-MC27b5,64.50944444,-3.500555556,3341,0.5,1.17,1,255,355,1.099066257,8.156698227,7.110209942,35.07008743,9.331879997,35.07441483,64.5,-3.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.827851139,reductive
